15:12:03.386 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.Infolabz.journalApp.service.UserServiceTests], using SpringBootContextLoader
15:12:07.940 [cluster-ClusterId{value='68737f6ee90c8046e1a055a1', description='null'}-srv-cluster0.ddxszfd.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-hywcekt-shard-00-02.ddxszfd.mongodb.net:27017 to client view of cluster
15:12:07.964 [cluster-ClusterId{value='68737f6ee90c8046e1a055a1', description='null'}-srv-cluster0.ddxszfd.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-hywcekt-shard-00-01.ddxszfd.mongodb.net:27017 to client view of cluster
15:12:07.965 [cluster-ClusterId{value='68737f6ee90c8046e1a055a1', description='null'}-srv-cluster0.ddxszfd.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-hywcekt-shard-00-00.ddxszfd.mongodb.net:27017 to client view of cluster
15:12:08.053 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@153d6d74 from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-hywcekt-shard-00-02.ddxszfd.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-hywcekt-shard-00-00.ddxszfd.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-hywcekt-shard-00-01.ddxszfd.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
15:12:08.550 [cluster-rtt-ClusterId{value='68737f6ee90c8046e1a055a1', description='null'}-ac-hywcekt-shard-00-02.ddxszfd.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:49785}] to ac-hywcekt-shard-00-02.ddxszfd.mongodb.net:27017
15:12:08.550 [cluster-ClusterId{value='68737f6ee90c8046e1a055a1', description='null'}-ac-hywcekt-shard-00-00.ddxszfd.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:50795}] to ac-hywcekt-shard-00-00.ddxszfd.mongodb.net:27017
15:12:08.550 [cluster-ClusterId{value='68737f6ee90c8046e1a055a1', description='null'}-ac-hywcekt-shard-00-02.ddxszfd.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:49785}] to ac-hywcekt-shard-00-02.ddxszfd.mongodb.net:27017
15:12:08.550 [cluster-ClusterId{value='68737f6ee90c8046e1a055a1', description='null'}-ac-hywcekt-shard-00-01.ddxszfd.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:52459}] to ac-hywcekt-shard-00-01.ddxszfd.mongodb.net:27017
15:12:08.550 [cluster-rtt-ClusterId{value='68737f6ee90c8046e1a055a1', description='null'}-ac-hywcekt-shard-00-00.ddxszfd.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:50800}] to ac-hywcekt-shard-00-00.ddxszfd.mongodb.net:27017
15:12:08.550 [cluster-rtt-ClusterId{value='68737f6ee90c8046e1a055a1', description='null'}-ac-hywcekt-shard-00-01.ddxszfd.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:52459}] to ac-hywcekt-shard-00-01.ddxszfd.mongodb.net:27017
15:12:08.551 [cluster-ClusterId{value='68737f6ee90c8046e1a055a1', description='null'}-ac-hywcekt-shard-00-00.ddxszfd.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-hywcekt-shard-00-00.ddxszfd.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=228403100, setName='atlas-103rjr-shard-0', canonicalAddress=ac-hywcekt-shard-00-00.ddxszfd.mongodb.net:27017, hosts=[ac-hywcekt-shard-00-00.ddxszfd.mongodb.net:27017, ac-hywcekt-shard-00-02.ddxszfd.mongodb.net:27017, ac-hywcekt-shard-00-01.ddxszfd.mongodb.net:27017], passives=[], arbiters=[], primary='ac-hywcekt-shard-00-01.ddxszfd.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=34, topologyVersion=TopologyVersion{processId=68700e28d0dfadfe3ea0ec4c, counter=4}, lastWriteDate=Sun Jul 13 15:12:07 IST 2025, lastUpdateTimeNanos=327650911165300}
15:12:08.551 [cluster-ClusterId{value='68737f6ee90c8046e1a055a1', description='null'}-ac-hywcekt-shard-00-02.ddxszfd.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-hywcekt-shard-00-02.ddxszfd.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=314132000, setName='atlas-103rjr-shard-0', canonicalAddress=ac-hywcekt-shard-00-02.ddxszfd.mongodb.net:27017, hosts=[ac-hywcekt-shard-00-00.ddxszfd.mongodb.net:27017, ac-hywcekt-shard-00-02.ddxszfd.mongodb.net:27017, ac-hywcekt-shard-00-01.ddxszfd.mongodb.net:27017], passives=[], arbiters=[], primary='ac-hywcekt-shard-00-01.ddxszfd.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=34, topologyVersion=TopologyVersion{processId=68700e9eab1455deaa598ba3, counter=3}, lastWriteDate=Sun Jul 13 15:12:07 IST 2025, lastUpdateTimeNanos=327650911165100}
15:12:08.551 [cluster-ClusterId{value='68737f6ee90c8046e1a055a1', description='null'}-ac-hywcekt-shard-00-01.ddxszfd.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-hywcekt-shard-00-01.ddxszfd.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=315512300, setName='atlas-103rjr-shard-0', canonicalAddress=ac-hywcekt-shard-00-01.ddxszfd.mongodb.net:27017, hosts=[ac-hywcekt-shard-00-00.ddxszfd.mongodb.net:27017, ac-hywcekt-shard-00-02.ddxszfd.mongodb.net:27017, ac-hywcekt-shard-00-01.ddxszfd.mongodb.net:27017], passives=[], arbiters=[], primary='ac-hywcekt-shard-00-01.ddxszfd.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff000000000000003a, setVersion=34, topologyVersion=TopologyVersion{processId=68700e63a6df174c26b3dad8, counter=6}, lastWriteDate=Sun Jul 13 15:12:07 IST 2025, lastUpdateTimeNanos=327650911165100}
15:12:08.554 [cluster-ClusterId{value='68737f6ee90c8046e1a055a1', description='null'}-ac-hywcekt-shard-00-01.ddxszfd.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max election id to 7fffffff000000000000003a from replica set primary ac-hywcekt-shard-00-01.ddxszfd.mongodb.net:27017
15:12:08.555 [cluster-ClusterId{value='68737f6ee90c8046e1a055a1', description='null'}-ac-hywcekt-shard-00-01.ddxszfd.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max set version to 34 from replica set primary ac-hywcekt-shard-00-01.ddxszfd.mongodb.net:27017
15:12:08.555 [cluster-ClusterId{value='68737f6ee90c8046e1a055a1', description='null'}-ac-hywcekt-shard-00-01.ddxszfd.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-hywcekt-shard-00-01.ddxszfd.mongodb.net:27017
15:12:08.882 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:7, serverValue:52470}] to ac-hywcekt-shard-00-01.ddxszfd.mongodb.net:27017
15:12:09.487 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@12e5d3e1, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5ed31735, org.springframework.security.web.context.SecurityContextPersistenceFilter@7ad889be, org.springframework.security.web.header.HeaderWriterFilter@14a1769d, org.springframework.security.web.authentication.logout.LogoutFilter@426710f0, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@2347b7af, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@26bb92e2, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6d7740f0, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2fb082ff, org.springframework.security.web.session.SessionManagementFilter@70d3cdbf, org.springframework.security.web.access.ExceptionTranslationFilter@239b98cb, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@68e47e7]
15:12:10.185 [main] INFO  c.I.j.service.UserServiceTests - Started UserServiceTests in 6.364 seconds (JVM running for 7.973)
